model,xi,val_season,rps,brier
dixon_coles,0.0,2021-2022,0.19720016633230816,0.5693450348990795
dixon_coles,0.0,2022-2023,0.2246952819453654,0.6252003120704986
dixon_coles,0.0,2023-2024,0.20090496483544365,0.5687018002268048
dixon_coles,0.0,2024-2025,0.22922593480326442,0.6432618867081861
dixon_coles,0.0,2025-2026,0.216709382118723,0.6328100925575932
dixon_coles,0.0005,2021-2022,0.19750836279947956,0.5701205008542081
dixon_coles,0.0005,2022-2023,0.22401773902089533,0.6239056956085922
dixon_coles,0.0005,2023-2024,0.19936616801334547,0.5656627613402242
dixon_coles,0.0005,2024-2025,0.22489796787591732,0.634341721962054
dixon_coles,0.0005,2025-2026,0.21386629576772426,0.6269873631223004
dixon_coles,0.001,2021-2022,0.19796686691079304,0.571199700205553
dixon_coles,0.001,2022-2023,0.22339342719214636,0.6227059796211982
dixon_coles,0.001,2023-2024,0.19836097921373755,0.5637576520405926
dixon_coles,0.001,2024-2025,0.2213536785864597,0.6270246619830911
dixon_coles,0.001,2025-2026,0.2123194715401597,0.6239232275425051
dixon_coles,0.0018,2021-2022,0.19883513181592916,0.573198369391747
dixon_coles,0.0018,2022-2023,0.22260771657884734,0.62117657485021
dixon_coles,0.0018,2023-2024,0.19773673438017517,0.5627782912534874
dixon_coles,0.0018,2024-2025,0.21742732235288653,0.6189161156389845
dixon_coles,0.0018,2025-2026,0.21174679330247168,0.6230608640119022
dixon_coles,0.003,2021-2022,0.20009129235690293,0.5760498780316139
dixon_coles,0.003,2022-2023,0.22193793967666894,0.6198097280573345
dixon_coles,0.003,2023-2024,0.1983110880489414,0.5644680306542592
dixon_coles,0.003,2024-2025,0.21431597265949878,0.6124742449631434
dixon_coles,0.003,2025-2026,0.21263087158985008,0.6253633692699134
dixon_coles,0.005,2021-2022,0.20202301058955363,0.5803888270935545
dixon_coles,0.005,2022-2023,0.22174386930687418,0.6192028147152074
dixon_coles,0.005,2023-2024,0.20066649451741103,0.5699956398955593
dixon_coles,0.005,2024-2025,0.21272234560813225,0.6090496929229837
dixon_coles,0.005,2025-2026,0.21486883379923088,0.6305829230315104
dixon_coles,0.008,2021-2022,0.20424114762502532,0.5854046361761222
dixon_coles,0.008,2022-2023,0.22223335353215143,0.6196965176443693
dixon_coles,0.008,2023-2024,0.21491948802163124,0.5999181982298484
dixon_coles,0.008,2024-2025,0.21361263194852176,0.6105641713809247
dixon_coles,0.008,2025-2026,0.21790571436497078,0.6375840395585046
dixon_coles,0.012,2021-2022,0.20680656876917738,0.5912890408561121
dixon_coles,0.012,2022-2023,0.23070508615553245,0.6368853011095716
dixon_coles,0.012,2023-2024,0.2201367644211948,0.6111006647640668
dixon_coles,0.012,2024-2025,0.21812359393091268,0.6194318718572313
dixon_coles,0.012,2025-2026,0.21472167667565684,0.6284716468110282
dixon_coles,0.02,2021-2022,0.2112831114956594,0.601383753035696
dixon_coles,0.02,2022-2023,0.2318703577115885,0.6391195782014517
dixon_coles,0.02,2023-2024,0.23403339818635807,0.6399839378953487
dixon_coles,0.02,2024-2025,0.25195284861351547,0.6881512380585103
dixon_coles,0.02,2025-2026,0.22331293016345125,0.6465033321717745
bivariate_poisson,0.0,2021-2022,0.19710187516603914,0.5691220220807152
bivariate_poisson,0.0,2022-2023,0.2249901326110622,0.625769352116498
bivariate_poisson,0.0,2023-2024,0.20082680104884473,0.5685726338726812
bivariate_poisson,0.0,2024-2025,0.22947084476312216,0.6437604152172153
bivariate_poisson,0.0,2025-2026,0.21680855015263972,0.6329380056730338
bivariate_poisson,0.0005,2021-2022,0.19749025980522322,0.5700622432063989
bivariate_poisson,0.0005,2022-2023,0.22430281074753639,0.6244798596352364
bivariate_poisson,0.0005,2023-2024,0.19928647505683078,0.5656371129504261
bivariate_poisson,0.0005,2024-2025,0.22508982402081082,0.6346942801319932
bivariate_poisson,0.0005,2025-2026,0.21390078912100446,0.626896372610937
bivariate_poisson,0.001,2021-2022,0.19794443327418645,0.5711338429811363
bivariate_poisson,0.001,2022-2023,0.22368483386581545,0.6233170579170526
bivariate_poisson,0.001,2023-2024,0.19828423009214471,0.5638441801954053
bivariate_poisson,0.001,2024-2025,0.22149554174478767,0.6272438160171839
bivariate_poisson,0.001,2025-2026,0.21232090758487057,0.6237211543289087
bivariate_poisson,0.0018,2021-2022,0.19876642313395707,0.5730315360950491
bivariate_poisson,0.0018,2022-2023,0.2229062054114843,0.6218332402030988
bivariate_poisson,0.0018,2023-2024,0.19770052631765603,0.563101138878622
bivariate_poisson,0.0018,2024-2025,0.21752817652867665,0.6190356017358672
bivariate_poisson,0.0018,2025-2026,0.21174117458922193,0.6228347455229235
bivariate_poisson,0.003,2021-2022,0.20008118227430263,0.5760123237227615
bivariate_poisson,0.003,2022-2023,0.222252085794572,0.6205194790292764
bivariate_poisson,0.003,2023-2024,0.19832565263398685,0.5650576764946087
bivariate_poisson,0.003,2024-2025,0.21439841197154708,0.6126171091666941
bivariate_poisson,0.003,2025-2026,0.21262737942620547,0.6251444551643015
bivariate_poisson,0.005,2021-2022,0.20204459031850783,0.5804235515045923
bivariate_poisson,0.005,2022-2023,0.2220736275866437,0.6199427548665839
bivariate_poisson,0.005,2023-2024,0.20074868574460367,0.5709382735827235
bivariate_poisson,0.005,2024-2025,0.21282208348937579,0.6094044372997744
bivariate_poisson,0.005,2025-2026,0.21485009439127323,0.6302570172727734
bivariate_poisson,0.008,2021-2022,0.20435388920771744,0.58565960339516
bivariate_poisson,0.008,2022-2023,0.22262112934093198,0.6205531150523373
bivariate_poisson,0.008,2023-2024,0.2041441088112414,0.5787394778653674
bivariate_poisson,0.008,2024-2025,0.21396231525882956,0.611654947301403
bivariate_poisson,0.008,2025-2026,0.21784791653530305,0.6369407842020309
bivariate_poisson,0.012,2021-2022,0.2069822243175537,0.5916876642748613
bivariate_poisson,0.012,2022-2023,0.22420599705958943,0.6231565505748334
bivariate_poisson,0.012,2023-2024,0.2092556211160474,0.5900091494192872
bivariate_poisson,0.012,2024-2025,0.21753912215770654,0.6188127145524043
bivariate_poisson,0.012,2025-2026,0.22097033920627962,0.6438655055155933
bivariate_poisson,0.02,2021-2022,0.211864423206571,0.6025488782203274
bivariate_poisson,0.02,2022-2023,0.23660941395950263,0.6472738725318613
bivariate_poisson,0.02,2023-2024,0.22924888425237983,0.6318426437510947
bivariate_poisson,0.02,2024-2025,0.22533692443066064,0.6346518894844715
bivariate_poisson,0.02,2025-2026,0.21860899247997487,0.6391226930690368
